KBBASE_SIZE,FACT_PROB,NEG_PROB,DRULE_PROB,MAX_RULESPERHEAD,MAX_BODYSIZE,MIN_ARGSLEVEL,LEVELS,RAMIFICATION,TREE_HEIGHT,base,rules,args,addl,t,b,h,times
0,0.5,0.5,0.5,3,3,3,2,1,1,9.59,16.52,27.08,2.64,16.2,8.91,2.07,41.7
20,0.5,0.5,0.5,3,3,3,2,1,1,25.41,16.63,29.22,2.89,17.62,7.88,2.3,9.35
40,0.5,0.5,0.5,3,3,3,2,1,1,45.19,15.76,25.14,2.89,14.58,2.93,1.98,28.79
60,0.5,0.5,0.5,3,3,3,2,1,1,65.33,16.92,30.1,2.92,18.65,3.68,1.74,20.92
80,0.5,0.5,0.5,3,3,3,2,1,1,85.2,16.47,28.15,3.0,17.65,2.91,1.81,3.08
100,0.5,0.5,0.5,3,3,3,2,1,1,105.53,16.54,28.42,3.13,18.35,3.84,2.08,12.5
120,0.5,0.5,0.5,3,3,3,2,1,1,125.36,16.47,27.68,2.98,17.01,13.18,2.09,21.38
140,0.5,0.5,0.5,3,3,3,2,1,1,145.55,16.55,28.64,3.0,18.55,3.47,1.72,30.28
160,0.5,0.5,0.5,3,3,3,2,1,1,165.46,16.13,25.17,2.97,15.64,7.84,2.11,20.4
180,0.5,0.5,0.5,3,3,3,2,1,1,185.07,16.4,26.5,2.97,16.47,3.97,2.14,12.51
200,0.5,0.5,0.5,3,3,3,2,1,1,205.29,16.61,29.35,3.04,17.44,3.21,1.74,5.7
