KBBASE_SIZE,FACT_PROB,NEG_PROB,DRULE_PROB,MAX_RULESPERHEAD,MAX_BODYSIZE,MIN_ARGSLEVEL,LEVELS,RAMIFICATION,TREE_HEIGHT,args,rules,base,mddl,t,b,h,times
10,0.5,0.5,0.5,1,2,2,2,1,1,4.78,5.46,12.24,2.14,1.73,0.88,0.89,0.03
20,0.5,0.5,0.5,1,2,2,2,1,1,4.68,5.48,22.19,2.03,1.84,0.86,0.86,0.04
30,0.5,0.5,0.5,1,2,2,2,1,1,4.74,5.45,32.22,2.14,1.69,0.85,0.85,0.04
40,0.5,0.5,0.5,1,2,2,2,1,1,4.59,5.39,42.05,2.06,1.67,0.82,0.82,0.04
50,0.5,0.5,0.5,1,2,2,2,1,1,4.66,5.31,52.07,2.02,1.46,0.77,0.77,0.04
60,0.5,0.5,0.5,1,2,2,2,1,1,4.84,5.51,62.15,2.12,1.82,0.86,0.86,0.05
70,0.5,0.5,0.5,1,2,2,2,1,1,4.44,5.37,72.21,2.1,1.53,0.77,0.77,0.05
80,0.5,0.5,0.5,1,2,2,2,1,1,4.81,5.47,82.21,2.0,1.77,0.84,0.84,0.05
90,0.5,0.5,0.5,1,2,2,2,1,1,4.4,5.32,92.0,2.19,1.55,0.82,0.82,0.05
100,0.5,0.5,0.5,1,2,2,2,1,1,4.73,5.46,102.35,2.16,1.69,0.87,0.87,0.06
