KBBASE_SIZE,FACT_PROB,NEG_PROB,DRULE_PROB,MAX_RULESPERHEAD,MAX_BODYSIZE,MIN_ARGSLEVEL,LEVELS,RAMIFICATION,TREE_HEIGHT,args,rules,base,mddl,t,b,h,times
10,0.7,0.7,0.7,1,3,1,3,1,2,4.59,4.76,13.47,3.53,1.54,0.84,1.15,0.03
20,0.7,0.7,0.7,1,3,1,3,1,2,4.55,4.72,23.32,3.54,1.52,0.82,1.16,0.05
30,0.7,0.7,0.7,1,3,1,3,1,2,4.64,4.8,33.48,3.65,1.66,0.86,1.24,0.05
40,0.7,0.7,0.7,1,3,1,3,1,2,4.64,4.82,43.53,3.46,1.71,0.87,1.27,0.06
50,0.7,0.7,0.7,1,3,1,3,1,2,4.58,4.8,53.55,3.55,1.6,0.85,1.19,0.06
60,0.7,0.7,0.7,1,3,1,3,1,2,4.56,4.78,63.51,3.54,1.63,0.87,1.22,0.07
70,0.7,0.7,0.7,1,3,1,3,1,2,4.59,4.74,73.48,3.59,1.6,0.86,1.2,0.07
80,0.7,0.7,0.7,1,3,1,3,1,2,4.64,4.82,83.45,3.54,1.66,0.9,1.23,0.08
90,0.7,0.7,0.7,1,3,1,3,1,2,4.65,4.88,93.47,3.8,1.69,0.88,1.25,0.07
100,0.7,0.7,0.7,1,3,1,3,1,2,4.63,4.78,103.58,3.5,1.64,0.89,1.22,0.08
