KBBASE_SIZE,FACT_PROB,NEG_PROB,DRULE_PROB,MAX_RULESPERHEAD,MAX_BODYSIZE,MIN_ARGSLEVEL,LEVELS,RAMIFICATION,TREE_HEIGHT,args,rules,base,mddl,t,b,h,times
10,0.5,0.5,0.5,1,2,2,2,1,1,4.62,5.34,12.18,1.98,1.5,0.82,0.82,0.04
20,0.5,0.5,0.5,1,2,2,2,1,1,4.71,5.45,22.18,2.15,1.8,0.87,0.88,0.04
30,0.5,0.5,0.5,1,2,2,2,1,1,4.62,5.34,32.17,2.07,1.69,0.79,0.8,0.05
40,0.5,0.5,0.5,1,2,2,2,1,1,4.86,5.56,42.18,2.13,1.7,0.86,0.86,0.05
50,0.5,0.5,0.5,1,2,2,2,1,1,4.8,5.51,52.22,2.23,1.82,0.87,0.87,0.06
60,0.5,0.5,0.5,1,2,2,2,1,1,4.52,5.35,62.0,1.98,1.54,0.84,0.84,0.06
70,0.5,0.5,0.5,1,2,2,2,1,1,4.54,5.39,72.15,2.18,1.65,0.88,0.88,0.07
80,0.5,0.5,0.5,1,2,2,2,1,1,4.89,5.5,82.34,2.04,1.74,0.89,0.9,0.07
90,0.5,0.5,0.5,1,2,2,2,1,1,4.64,5.37,92.02,2.14,1.62,0.88,0.89,0.08
100,0.5,0.5,0.5,1,2,2,2,1,1,4.84,5.52,102.09,2.11,1.78,0.86,0.86,0.08
