KBBASE_SIZE,FACT_PROB,NEG_PROB,DRULE_PROB,MAX_RULESPERHEAD,MAX_BODYSIZE,MIN_ARGSLEVEL,LEVELS,RAMIFICATION,TREE_HEIGHT,base,rules,args,addl,t,b,h,times
100,0.5,0.5,0.5,1,2,2,1,1,1,100.88,2.88,2.48,1.71,0.88,0.65,0.65,0.18
100,0.5,0.5,0.5,1,2,2,2,1,1,102.31,5.46,4.69,2.19,1.64,0.9,0.91,0.19
100,0.5,0.5,0.5,1,2,2,3,1,1,103.0,7.55,6.62,2.23,2.1,0.88,0.89,0.2
100,0.5,0.5,0.5,1,2,2,4,1,1,104.0,9.63,8.75,2.61,2.59,0.92,0.94,0.23
100,0.5,0.5,0.5,1,2,2,5,1,1,105.04,11.77,10.77,2.67,2.81,0.93,0.94,0.28
100,0.5,0.5,0.5,1,2,2,6,1,1,105.0,13.81,12.47,2.88,2.67,0.95,0.96,12.83
100,0.5,0.5,0.5,1,2,2,7,1,1,106.23,15.74,14.49,3.15,3.07,0.93,0.94,4.21
100,0.5,0.5,0.5,1,2,2,8,1,1,106.84,17.74,16.26,3.2,2.85,0.91,0.92,11.14
100,0.5,0.5,0.5,1,2,2,9,1,1,107.64,19.73,17.16,3.09,2.59,0.9,0.91,60.06
100,0.5,0.5,0.5,1,2,2,10,1,1,108.43,21.74,19.88,3.43,3.0,0.96,0.97,22.29
